Title,Published_date,Views,Likes,Dislikes,Comments
Subtract Sundays - No Strings x,2023-06-18T17:19:45Z,12636,2292,0,31
Me and Ted shot our first commercial together #TinglyTeds,2023-06-13T18:04:14Z,62879,5109,0,93
Tingly Ted’s Tailgate at MetLife,2023-06-12T23:46:56Z,75859,4916,0,86
Never Mind | Tingly Ted’s,2023-06-12T12:07:18Z,132758,7164,0,371
Played my biggest ever USA show today and broke the ticket record at MetLife. I love you all x,2023-06-12T03:53:46Z,92531,10358,0,339
Subtract Sundays - Vega x,2023-06-11T18:24:07Z,62218,7687,0,232
"I wrote this song 10 years ago, and always knew it was going to be on Subtract",2023-06-09T18:27:04Z,207519,23471,0,602
"Another subtract show, another ticket record at a stadium. Love you Philly, til next time x",2023-06-06T22:05:39Z,71595,4719,0,111
Subtract Sundays - Spark x,2023-06-04T17:45:39Z,85606,9257,0,253
iiiiiiiiiiinnnnnnnn south Philadelphia…,2023-06-03T23:19:52Z,67748,7098,0,169
Ed Sheeran - A Beautiful Game (from Ted Lasso),2023-05-31T04:00:24Z,661238,21101,0,1038
Subtract Sundays - Borderline x,2023-05-28T17:24:13Z,84300,8867,0,230
"Beers on me Atlanta, see you at the stadium later x",2023-05-27T21:16:11Z,146657,12745,0,285
ipswich ladz cradle of filth,2023-05-26T16:55:15Z,90787,5689,0,73
We hope the spark survives x,2023-05-22T19:50:44Z,72928,9156,0,241
Subtract Sundays - Colourblind x,2023-05-21T17:30:36Z,95692,9422,0,239
Thank you Mr Tejeda for letting me crash your class,2023-05-20T17:18:11Z,99558,7829,0,148
"Easy come, hard go, then life goes on x",2023-05-18T17:27:37Z,110053,12777,0,192
Ed Sheeran - Subtract: The Visual Album [Behind The Scenes],2023-05-18T16:00:35Z,198470,8500,0,550
"We did not fight for love, just to let it be defeated x",2023-05-16T14:48:48Z,144614,13739,0,272
Learning how to shotgun a beer with Luke Combs,2023-05-15T18:53:45Z,198983,12413,0,211
Subtract Sundays - Dusty x,2023-05-14T17:13:53Z,126135,11191,0,247
Thank you for making Subtract #1 x,2023-05-12T16:48:52Z,102176,11977,0,397
Ed Sheeran - Life Goes On ft. Luke Combs (Live at the 58th ACM Awards),2023-05-12T09:34:47Z,1971043,31907,0,1175
Ed Sheeran - Life Goes On (feat. Luke Combs) [Official Visualiser],2023-05-12T04:00:37Z,761942,18384,0,665
I'm stuck on the borderline x,2023-05-11T21:16:25Z,63266,7986,0,205
Ed Sheeran - Borderline (Apple Music Live),2023-05-11T16:00:54Z,229399,10694,0,514
I remember when I used to be the favourite,2023-05-11T15:12:36Z,76383,6418,0,140
Drop the needle on Dusty x,2023-05-09T16:30:56Z,64512,8181,0,206
L.A vloggin' with the sightseeing bus!,2023-05-08T15:18:49Z,75976,7560,0,165
Subtract Sundays - Life Goes On x,2023-05-07T17:22:24Z,149792,13276,0,322
"The Volvo took too much weight yesterday, so I got an ice cream truck for the Dallas pop up x",2023-05-07T07:18:40Z,93207,9354,0,185
Ed Sheeran - Subtract [Official Afterparty],2023-05-05T16:03:11Z,0,11280,0,488
Ed Sheeran - The Hills of Aberfeldy [Official Video],2023-05-05T15:58:08Z,3131124,40626,0,1237
Ed Sheeran - No Strings [Official Video],2023-05-05T15:54:10Z,4487541,20909,0,527
Ed Sheeran - Sycamore [Official Video],2023-05-05T15:50:09Z,4027732,19704,0,455
Ed Sheeran - Vega [Official Video],2023-05-05T15:46:11Z,3533228,24488,0,660
Ed Sheeran - Spark [Official Video],2023-05-05T15:41:09Z,4841958,66512,0,1171
Ed Sheeran - Borderline [Official Video],2023-05-05T15:36:07Z,1643834,22607,0,634
Ed Sheeran - Curtains [Official Video],2023-05-05T15:32:09Z,15678679,55331,0,1759
Ed Sheeran - Colourblind [Official Video],2023-05-05T15:28:09Z,2128701,31387,0,867
Ed Sheeran - End Of Youth [Official Video],2023-05-05T15:23:10Z,2810195,48664,0,1294
Ed Sheeran - Dusty [Official Video],2023-05-05T15:19:07Z,2896701,49397,0,1391
Ed Sheeran - Life Goes On [Official Video],2023-05-05T15:15:10Z,5214559,64976,0,1860
Ed Sheeran - Salt Water [Official Video],2023-05-05T15:06:08Z,2422071,49751,0,1635
Ed Sheeran - Wildflowers [Official Visualiser],2023-05-05T12:18:06Z,202127,6064,0,205
Ed Sheeran - Toughest [Official Visualiser],2023-05-05T12:17:55Z,222630,6869,0,197
Ed Sheeran - Stoned [Official Visualiser],2023-05-05T12:17:44Z,199642,6275,0,214
Ed Sheeran - Moving [Official Visualiser],2023-05-05T12:17:30Z,210945,6261,0,205
I made this album as a way to make sense of things that go on inside my head. Subtract out now x,2023-05-05T10:32:53Z,99300,13633,0,508
Ed Sheeran - Sycamore [Official Lyric Video],2023-05-05T04:00:31Z,163450,6670,0,244
Ed Sheeran - Vega [Official Lyric Video],2023-05-05T04:00:27Z,184822,6477,0,216
Ed Sheeran - Borderline [Official Lyric Video],2023-05-05T04:00:16Z,224306,7851,0,262
Ed Sheeran - Salt Water [Official Lyric Video],2023-05-05T04:00:15Z,440258,11150,0,360
Ed Sheeran - No Strings [Official Lyric Video],2023-05-05T04:00:13Z,182528,6152,0,190
Ed Sheeran - End Of Youth [Official Lyric Video],2023-05-05T04:00:10Z,407520,11117,0,290
Ed Sheeran - Dusty [Official Lyric Video],2023-05-05T04:00:07Z,218157,6631,0,173
Ed Sheeran - Life Goes On [Official Lyric Video],2023-05-05T04:00:05Z,436464,10853,0,341
Ed Sheeran - Curtains [Official Lyric Video],2023-05-05T04:00:04Z,309957,8095,0,244
Ed Sheeran - Spark [Official Lyric Video],2023-05-05T04:00:03Z,255612,7866,0,217
Ed Sheeran - Colourblind [Official Lyric Video],2023-05-05T04:00:02Z,252763,10432,0,531
Ed Sheeran - The Hills Of Aberfeldy [Official Lyric Video],2023-05-05T04:00:01Z,259081,11711,0,512
Hope you enjoy Subtract. This is Sycamore... x,2023-05-04T22:37:00Z,68801,7744,0,178
Ed Sheeran — The ’Subtract’ Interview with Apple Music & Zane Lowe,2023-05-04T17:00:09Z,323713,13062,0,984
Subtract the visual album premieres on Friday x,2023-05-03T14:12:49Z,64253,6567,0,127
So pleased to share this with you all. The Sum Of It All is streaming now on Disney Plus x,2023-05-03T11:24:41Z,97022,8905,0,173
Sneak peak of Salt Water. Subtract out Friday x,2023-05-02T22:09:57Z,70742,8334,0,175
I've been travelling around with this little guy. Order now from the store x,2023-05-02T12:52:29Z,84418,8216,0,204
Pre-save Subtract on Spotify - out Friday x,2023-05-01T22:07:14Z,75625,6185,0,119
The Sum Of It All out on Disney Plus this Wednesday x,2023-05-01T21:37:49Z,46117,4239,0,81
Subtract Sundays - Curtains x,2023-04-30T17:05:21Z,247699,20409,0,429
"Ed Sheeran - Boat (Live From The Historic Dockyard, Chatham 2023) [Feat. Aaron Dessner]",2023-04-28T09:00:13Z,597541,16894,0,688
Ed Sheeran - Boat [Official Lyric Video],2023-04-25T17:00:32Z,674831,16819,0,598
Subtract Sundays - Sycamore x,2023-04-23T17:33:34Z,180169,16046,0,360
Ed Sheeran - Boat [Official Video],2023-04-21T08:00:07Z,9631171,205482,0,6452
"Was singing Afterglow as part of the encore in Berlin, when I heard Annemie harmonising with me… x",2023-04-19T20:24:57Z,545027,22451,0,242
Subtract Sundays - End of Youth x,2023-04-16T17:30:41Z,167292,14983,0,361
"The Sum of it all, out on Disney plus May 3rd x",2023-04-13T18:10:32Z,91250,8644,0,200
"Ed Sheeran - Eyes Closed [Acoustic at Kings Theatre, New York]",2023-04-12T16:00:40Z,1224719,23845,0,848
Subtract Sundays - Salt Water x,2023-04-09T17:04:47Z,219877,18863,0,396
Ed Sheeran - Eyes Closed (Live on The Jonathan Ross Show),2023-04-04T09:05:37Z,434870,16195,0,706
Subtract Sundays - Boat x,2023-04-02T11:31:13Z,232426,22248,0,461
"Back in the motherland, always the best crowds in the world. Love you Dublin, til next time x",2023-04-01T15:37:38Z,102569,9230,0,172
New Subtract merch up on the store for a limited time. Get it before Monday x,2023-03-31T13:42:17Z,72556,5562,0,101
Ed Sheeran - Eyes Closed [Behind The Scenes],2023-03-31T12:00:25Z,239702,12071,0,507
Was in Lewis Capaldi's home town yesterday and had a great time x,2023-03-29T16:19:36Z,83965,7023,0,108
Played Subtract live for the very first time in full yesterday at Hammersmith Apollo x,2023-03-28T16:33:10Z,84443,9616,0,152
Ed Sheeran - Eyes Closed (Piano and Strings Version) [Live featuring Aaron Dessner],2023-03-27T09:00:02Z,1715081,45526,0,1320
Feels so good to be back playing in these rooms London x,2023-03-26T16:53:16Z,68298,6548,0,114
Ed Sheeran - Eyes Closed (Official Lyric Video),2023-03-26T08:00:30Z,2694729,48476,0,1450
Ed Sheeran - Eyes Closed - First Performance Live in Manchester,2023-03-24T18:17:31Z,578049,26369,0,1022
Ed Sheeran - Subtract [Intro],2023-03-24T04:10:29Z,807739,27569,0,1004
Ed Sheeran - Eyes Closed [Official Video],2023-03-24T04:00:10Z,52257415,478266,0,14622
Eyes Closed out a week today x,2023-03-17T17:23:22Z,185845,15040,0,259
Signed a load of these for you guys. Get em on the store x,2023-03-11T12:18:54Z,150096,11659,0,269
Eyes Closed. 24.03.23.,2023-03-09T12:09:40Z,357414,34545,0,691
"biggest shows of my career, unforgettable x",2023-03-05T13:56:53Z,163424,17874,0,299
I’m playing some UK & EU shows. Pre order Subtract from my website for early access to tickets !x,2023-03-01T12:25:58Z,113868,10031,0,228
Ed Sheeran - Subtract [Album Trailer],2023-03-01T09:01:00Z,1569737,80666,0,3398
Tingly Ted's,2023-02-21T08:33:49Z,312537,27673,0,516
Swapsies. I think I got the better end of the deal tbh,2023-02-19T15:34:43Z,115052,11682,0,178
"Went to hobbiton, vlogged it, here we bloody go lads",2023-02-13T12:13:56Z,141825,15653,0,356
Posh Wellington tour diary right here,2023-02-04T11:11:26Z,75835,6442,0,118
"Wellington warm ups, 3 shows, lots of fun.",2023-02-01T16:15:49Z,78937,6145,0,95
So glad we got to do this x,2023-01-27T16:19:48Z,101929,7556,0,105
F64 out now - watch the full video on SBTV x,2023-01-22T20:43:03Z,127059,12968,0,274
Ed Sheeran - The North American Mathematics Tour 2023 is now on sale!,2022-10-14T14:03:34Z,513486,14876,0,906
Ed Sheeran - The Mathematics Tour is coming to North America in 2023!,2022-10-03T14:00:54Z,740994,31600,0,1394
"Ed Sheeran, Pokémon - Celestial [Official Video]",2022-09-29T15:00:12Z,35443405,643606,0,21330
This is only half of the collection,2022-09-15T16:00:04Z,805676,60825,0,1154
"Paulo Londra, Ed Sheeran - Noche de Novela [Official Lyric Video]",2022-08-30T19:12:09Z,606869,30427,0,1017
May wee paree,2022-08-02T12:46:29Z,464358,37059,0,771
Making the Russ song in the studio with Fred again sampling my voice,2022-07-28T17:35:56Z,286738,16739,0,249
Brussels is pretty fun,2022-07-26T10:59:25Z,231917,16909,0,303
Every night is a loose one,2022-07-22T18:20:22Z,337983,26272,0,836
Ed Sheeran - I Will Remember You (Official Audio),2022-05-27T04:04:09Z,3017912,63840,0,1784
Ed Sheeran - One Life (Official Audio),2022-05-27T04:04:09Z,4986722,71333,0,1985
Ed Sheeran - Welcome To The World (Official Audio),2022-05-27T04:04:09Z,903211,23517,0,770
Ed Sheeran - Penguins (Official Audio),2022-05-27T04:04:08Z,1319484,25906,0,810
Ed Sheeran - 2step (Potter Payper Remix) [Official Audio],2022-05-20T14:54:36Z,541990,16734,0,658
Ed Sheeran - 2step (Live from 2022 Billboard Music Awards),2022-05-19T15:57:56Z,795298,14505,0,566
Ed Sheeran - 2steppin in a Cork dressing room,2022-05-04T17:59:31Z,1255976,45287,0,1810
Ed Sheeran - 2step (feat. Lil Baby) - [Official Behind The Scenes Video],2022-04-26T17:38:52Z,957279,44958,0,1554
Ed Sheeran - 2step (feat. Lil Baby) - [Official Video],2022-04-22T04:00:13Z,53547867,779618,0,19238
Dealing with a lawsuit recently. We won and I wanted to share a few words about it all x,2022-04-06T09:07:01Z,2031703,146525,0,0
J Balvin & Ed Sheeran - Forever My Love [Official Video],2022-03-25T00:00:12Z,18106670,450410,0,14382
Ed Sheeran - The Joker And The Queen (feat. Taylor Swift) [Official Lyric Video],2022-02-14T18:19:57Z,3131839,71925,0,2543
Ed Sheeran - The Joker And The Queen (feat. Taylor Swift) [Official Video],2022-02-11T00:00:26Z,47091979,734853,0,18512
Ed Sheeran – The Joker And The Queen [Live at the BRIT Awards 2022],2022-02-08T23:53:32Z,2159056,64973,0,2115
Ed Sheeran – Bad Habits (feat. Bring Me The Horizon) [Live at the BRIT Awards 2022],2022-02-08T23:52:21Z,8275457,227799,0,8658
Fireboy DML & Ed Sheeran - Peru [Official Lyric Video],2022-01-07T12:16:16Z,18758570,151132,0,3351
