Title,Published_date,Views,Likes,Dislikes,Comments
Drew House TOKYO #shorts,2022-11-21T16:29:07Z,773988,28860,0,2490
Justin Bieber X Free Fire - Beautiful Love (Free Fire) [Official Video],2022-09-18T13:00:18Z,5375426,234835,0,10300
"Justin Bieber, Don Toliver - The Making of 'Honest' (Vevo Footnotes)",2022-06-15T16:00:17Z,3377883,91215,0,4852
#shorts,2022-05-31T17:54:49Z,1215755,73449,0,1539
"May 13, 2022",2022-05-13T16:28:59Z,1200386,50502,0,879
Justin Bieber - Honest (feat. Don Toliver) (Official Lyric Video),2022-04-29T16:00:34Z,2300322,82970,0,3369
Justin Bieber - Honest ft. Don Toliver,2022-04-29T04:00:17Z,34187087,599237,0,31627
"April 24, 2022",2022-04-24T17:17:21Z,1108749,75408,0,1636
Sometimes life slaps you in the face,2022-04-15T22:32:48Z,756243,46348,0,1351
Come into my world 🌎,2022-04-13T16:07:59Z,532240,47618,0,1009
"April 2, 2022",2022-04-03T01:46:36Z,538451,49276,0,875
"You're my rock, my Colorado",2022-03-25T17:09:59Z,743098,65581,0,1202
Justin Bieber - The Justice Tour Represents Equality for ALL,2022-03-09T21:45:07Z,1279564,70158,0,3079
Justin Bieber & Omah Lay - Attention (Official Video),2022-03-04T05:00:19Z,9838832,336569,0,13478
Justin Bieber - Only Thing I Ever Get For Christmas (Lyric Video),2021-12-15T21:00:20Z,2544685,80352,0,2889
Justin Bieber - Silent Night (Lyric Video),2021-12-15T17:00:40Z,950632,42045,0,1824
Justin Bieber - Christmas Eve (Lyric Video),2021-12-14T21:00:17Z,798536,41652,0,1808
The Christmas Song (Chestnuts Roasting On An Open Fire) (Lyric Video),2021-12-14T20:00:05Z,476686,21993,0,1141
Justin Bieber - Drummer Boy (Lyric Video) ft. Busta Rhymes,2021-12-13T23:00:31Z,785575,43707,0,1967
Justin Bieber - Someday At Christmas,2021-12-13T20:00:09Z,625018,48225,0,2241
Justin Bieber - Home This Christmas (Lyric Video) ft. The Band Perry,2021-12-13T17:00:32Z,522448,35400,0,1801
Justin Bieber - Christmas Love,2021-12-12T17:00:13Z,8722686,332663,0,9114
Justin Bieber - The Making Of 'Ghost' (Vevo Footnotes),2021-12-10T17:00:31Z,658903,41683,0,2242
Wave Presents: Justin Bieber - An Interactive Virtual Experience,2021-11-22T23:04:27Z,1368213,77169,0,3876
#JusticeWorldTour - https://www.justinbiebermusic.com/tour,2021-11-22T18:10:08Z,1149076,81642,0,1337
Justin Bieber and Michael D. Ratner: The Making of “Our World” - A Conversation with Jason Kennedy,2021-11-08T16:47:31Z,681523,38649,0,2126
The other night was crazy,2021-11-04T16:07:54Z,591444,54295,0,1281
Justin Bieber - Rockin' Around The Christmas Tree (Audio),2021-10-29T04:00:18Z,1521283,81630,0,5104
Justin Bieber - Ghost (Behind The Scenes),2021-10-18T17:01:13Z,1574884,97519,0,2940
Justin Bieber - Ghost (Lyric Video),2021-10-14T16:00:20Z,1416492,74504,0,3994
Justin Bieber - Justice (Official Live Performances) | Vevo,2021-10-13T16:00:27Z,8659026,143965,0,6254
Justin Bieber - Angels Speak ft. Poo Bear (Visualizer),2021-10-08T04:00:31Z,3459732,96148,0,5108
Justin Bieber - Red Eye (Visualizer) ft. TroyBoi,2021-10-08T04:00:12Z,8571887,167718,0,6741
Justin Bieber - Ghost,2021-10-08T04:00:10Z,273111697,3127669,0,104158
Justin Bieber - Hailey (Visualizer),2021-10-08T04:00:04Z,8081669,243285,0,11030
Justin Bieber - Our World (Official Trailer),2021-10-01T16:23:49Z,1556155,134082,0,8243
Justin Bieber - Ghost (Live From The MTV VMAs / 2021),2021-09-16T17:54:58Z,9680209,279081,0,8769
