Title,Published_date,Views,Likes,Dislikes,Comments
Taylor Swift - Taylor Swift The Eras Tour México,2023-06-17T02:14:31Z,514386,63991,0,6693
Taylor Swift ft. Ice Spice - Karma (Official Music Video),2023-05-27T04:00:08Z,20063880,1069824,0,39354
Taylor Swift - Hits Different,2023-05-26T04:00:19Z,3209237,157854,0,6468
Taylor Swift ft. Ice Spice - Karma (Official Visualizer),2023-05-26T04:00:09Z,3982019,275608,0,14577
Taylor Swift - Snow On The Beach (Feat. More Lana Del Rey),2023-05-26T04:00:01Z,4713357,295954,0,13937
It fills me with such pride & joy to announce that my version of Speak Now will be out July 7 💜💜💜,2023-05-06T04:06:59Z,425180,83480,0,2601
Taylor Swift - Lavender Haze (Acoustic Version),2023-03-31T04:00:01Z,1378053,75534,0,3564
Taylor Swift - Lavender Haze (Snakehips Remix),2023-03-03T05:00:29Z,581227,16745,0,920
Taylor Swift - Lavender Haze (Jungle Remix),2023-03-03T05:00:23Z,227659,14307,0,1031
Taylor Swift - Lavender Haze (Tensnake Remix),2023-03-03T05:00:16Z,216399,14507,0,779
Taylor Swift - Lavender Haze (Behind The Scenes),2023-03-03T04:56:53Z,1030331,103120,0,3527
Taylor Swift - Lavender Haze (Felix Jaehn Remix),2023-02-10T05:00:05Z,584598,37777,0,2435
Taylor Swift - Lavender Haze (Official Music Video),2023-01-27T05:00:07Z,37538739,1330214,0,41304
Meet me at midnight…for the Lavender Haze music video premiere (!!!!!!!!!!!!!),2023-01-26T13:10:08Z,657490,81154,0,1450
Taylor Swift - All Too Well: The Short Film (Behind The Scenes),2022-12-08T14:00:09Z,5051691,348803,0,7101
Taylor Swift - Anti-Hero (ILLENIUM Remix),2022-11-18T05:00:32Z,1543871,51418,0,2511
"It’s me, Benjamin 🐱 joining the #TSAntiHeroChallenge brought to you by YouTube Shorts",2022-11-11T17:04:21Z,48261249,2673773,0,10644
Taylor Swift - Anti-Hero (Roosevelt Remix),2022-11-11T03:00:30Z,574510,26978,0,1519
Taylor Swift - Anti-Hero (Kungs Remix),2022-11-11T03:00:20Z,916235,25733,0,1027
Taylor Swift - Anti-Hero (Jayda G Remix),2022-11-11T03:00:06Z,677750,17968,0,733
The Anti Hero (Roosevelt remix) makes me feel hyped enough for an imaginary funeral brawl,2022-11-09T21:05:35Z,1174326,70448,0,658
